week,start_date,end_date,student_id,cars_accuracy,sciences_accuracy,class_accuracy,completed_lessons,total_completed_passages_discrete_sets,score_trends_on_completed_dailies,num_attended_large_session,num_scheduled_large_session,num_attended_small_session,num_scheduled_small_session,class_participation,homework_participation
1,12/30/24,1/5/25,1,,0.29,0.666666667,1,4,0.07,4,4,0,1,1,0
1,12/30/24,1/5/25,2,,0.76,,61,7,0.76,4,4,0,1,0,0
1,12/30/24,1/5/25,3,,0.35,0.666666667,9,5,0.21,4,4,0,1,1,0
1,12/30/24,1/5/25,4,,0.54,1,6,7,0.54,4,4,0,1,1,0
1,12/30/24,1/5/25,5,0.87,0.66,,27,19,0.45,4,4,0,1,0,0
1,12/30/24,1/5/25,6,,0.5,0.666666667,8,8,0.5,4,4,1,1,1,0
1,12/30/24,1/5/25,7,,0.48,,1,7,0.41,4,4,0,1,0,0.8
1,12/30/24,1/5/25,8,,,,1,3,0,4,4,0,1,0,0
1,12/30/24,1/5/25,9,0.1,0.63,0,11,10,0.52,4,4,0,1,1,0
1,12/30/24,1/5/25,10,,0.83,0.666666667,7,8,0.83,4,4,0,1,1,0
1,12/30/24,1/5/25,11,0.46,0.78,0.666666667,8,13,0.68,4,4,0,1,1,0
1,12/30/24,1/5/25,12,,0.55,,1,6,0.27,4,4,0,1,0,0
1,12/30/24,1/5/25,13,,0.71,,11,10,0.42,4,4,1,1,0,0
1,12/30/24,1/5/25,14,0.67,0.19,0.666666667,5,10,0.22,4,4,0,1,1,0
2,1/6/25,1/12/25,1,,0.5,,1,4,0.43,4,4,1,1,0,0
2,1/6/25,1/12/25,2,,1,,5,5,1,4,4,1,1,0,0
2,1/6/25,1/12/25,3,,,0,1,2,0,3,4,1,1,1,0
2,1/6/25,1/12/25,4,0.8,0.28,1,4,7,0.28,4,4,1,1,1,0
2,1/6/25,1/12/25,5,,0.69,,9,10,0.63,4,4,1,1,0,0
2,1/6/25,1/12/25,6,,0,,12,5,0,2,4,1,1,0,0
2,1/6/25,1/12/25,7,,,,1,4,0,4,4,1,1,0,1
2,1/6/25,1/12/25,8,,,,1,4,0,4,4,1,1,0,0
2,1/6/25,1/12/25,9,0.6,0.5,1,15,25,0.49,4,4,1,1,0.5,0
2,1/6/25,1/12/25,10,,0.46,0.5,25,11,0.46,4,4,1,1,1,0
2,1/6/25,1/12/25,11,0.65,0.5,1,9,15,0.55,4,4,1,1,1,0.333333333
2,1/6/25,1/12/25,12,0.56,0.2,,1,9,0.49,4,4,1,1,0,0
2,1/6/25,1/12/25,13,,0.63,,5,8,0.71,4,4,1,1,0,0
2,1/6/25,1/12/25,14,,0.67,1,2,4,0.67,4,4,2,1,0.5,0.333333333
3,1/13/25,1/19/25,1,,,,1,0,0,4,4,1,1,0,0
3,1/13/25,1/19/25,2,,,,1,5,0,4,4,1,1,0,0
3,1/13/25,1/19/25,3,0.67,0.6,0.333333333,1,4,0.62,4,4,1,1,0.6,0
3,1/13/25,1/19/25,4,0.57,0.44,,1,9,0.5,4,4,1,1,0,0
3,1/13/25,1/19/25,5,0.85,0.82,,8,19,0.84,4,4,1,1,0,0
3,1/13/25,1/19/25,6,,0.61,,11,8,0.54,4,4,1,1,0,0
3,1/13/25,1/19/25,7,,,,1,5,0,4,4,1,1,0,0
